"Story","Title","Result","Date","Stability","Duration (s)"
"Proceso Judicial","Consultar el proceso judicial 0000000000","SUCCESS","2019-11-06T19:23:58.417-05:00[America/Bogota]","0.0","16.32"
"Proceso Judicial","Consultar expediente de penas para SERGIO ELIECER - MARTINEZ PEREZ","SUCCESS","2019-11-06T19:24:15.501-05:00[America/Bogota]","0.0","23.85"
